title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Ford Transit Ft 330m Kombi 125,8.999€,2012,142.000 km,125 cv en Malaga,Manual,4 puertas,9,125 cv,Blanco,189 gr/m,Diesel,SÍ,Profesional,Combi,200 cm,523 cm,197 cm,0 l,0 km/h,"8,6 l","6,3 l","7,0 l",2.343 kg,80 l,"0,0 s"
Citroen Nemo Comercial Nemo Furgón 1.2hdi,6.990€,2017,77.783 km,80 cv en Granada,Manual,3 puertas,2,80 cv,Blanco,115 gr/m,Diesel,SÍ,Profesional,Furgon,172 cm,386 cm,172 cm,0 l,162 km/h,"5,6 l","3,7 l","4,4 l",1.165 kg,45 l,"0,0 s"
Nissan Nv200 Nv200 Furgón 1.5dci Basic 90 Eu6,13.310€,2017,54.000 km,90 cv en Vizcaya,Manual,5 puertas,2,90 cv,Blanco,131 gr/m,Diesel,SÍ,Profesional,Furgon,186 cm,440 cm,170 cm,0 l,158 km/h,"5,7 l","4,6 l","4,9 l",1.260 kg,55 l,"0,0 s"
Renault Kangoo Fg. 1.5dci Profesional 85,2.999€,2012,209.680 km,85 cv en Badajoz,Manual,3 puertas,2,85 cv,Blanco,130 gr/m,Diesel,SÍ,Profesional,Furgon,181 cm,421 cm,183 cm,0 l,158 km/h,"5,8 l","4,9 l","5,2 l",1.251 kg,60 l,"16,0 s"
Renault Kangoo 1.5dci Pampa 85 4x2,2.900€,2006,191.996 km,85 cv en Valencia,Manual,5 puertas,5,85 cv,Amarillo,139 gr/m,Diesel,SÍ,Profesional,Combi,180 cm,404 cm,167 cm,650 l,157 km/h,"5,9 l","4,9 l","5,3 l",1.170 kg,50 l,"11,3 s"
Toyota Proace City Combi L2 1.5d Gx 130,12.985€,2020,0 km,130 cv en Soria,Manual,5 puertas,6,130 cv,Blanco,110 gr/m,Diesel,SÍ,Profesional,Combi,188 cm,475 cm,185 cm,0 l,186 km/h,"4,6 l","3,8 l","4,1 l",1.615 kg,0 l,"0,0 s"
Dacia Dokker Comercial Dokker Van 1.5dci Ambiance 55kw,7.000€,2018,38.000 km,75 cv en Madrid,Manual,4 puertas,2,75 cv,Blanco,108 gr/m,Diesel,SÍ,Profesional,Furgon,181 cm,436 cm,175 cm,0 l,150 km/h,"5,2 l","4,1 l","4,5 l",1.189 kg,50 l,"15,9 s"
Peugeot Partner Furgón Electric Confort L1,8.390€,04/2018,4.307 km,67 cv,"Directo, sin caja de cambios",3 puertas,2,67 cv,Blanco,0 gr/m,Eléctrico,SÍ,Profesional,Furgon,180 cm,438 cm,181 cm,0 l,110 km/h,"0,0 l","0,0 l","0,0 l",1.530 kg,0 l,"18,7 s"
Volkswagen Caddy 1.4 Tgi Gnc Kombi,13.990€,2019,27.800 km,"110 cv en Coruña, A",Manual,4 puertas,5,110 cv,Blanco,126 gr/m,Gasolina,SÍ,Profesional,Combi,186 cm,441 cm,179 cm,0 l,174 km/h,"9,1 l","5,8 l","7,0 l",1.643 kg,60 l,"0,0 s"
Renault Kangoo Z.e. Fg.,6.171€,01/2013,78.000 km,60 cv en Asturias,"Directo, sin caja de cambios",3 puertas,2,60 cv,Amarillo,0 gr/m,Eléctrico,SÍ,Profesional,Furgon,181 cm,421 cm,183 cm,0 l,130 km/h,"0,0 l","0,0 l","0,0 l",1.410 kg,0 l,"20,3 s"
