title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Ford C-max C-max 1.0 Ecoboost Auto-s&s Trend 125,8.790€,09/2013,85.900 km,125 cv en Madrid,Manual,5 puertas,5,125 cv,Blanco,117 gr/m,Gasolina,SÍ,Profesional,Monovolumen,163 cm,438 cm,183 cm,432 l,187 km/h,"6,3 l","4,5 l","5,1 l",1.374 kg,55 l,"11,4 s"
Volkswagen California 2.0tdi Bmt Ocean 110kw,47.990€,2016,70.000 km,150 cv en Barcelona,Manual,5 puertas,5,150 cv,Blanco,180 gr/m,Diesel,SÍ,Profesional,Monovolumen,199 cm,490 cm,190 cm,0 l,179 km/h,"8,3 l","6,1 l","6,9 l",2.508 kg,80 l,"0,0 s"
Ford Tourneo Connect 1.6tdci Trend 95,14.900€,10/2015,76.221 km,95 cv en Navarra,Manual,5 puertas,5,95 cv,Beige,119 gr/m,Diesel,SÍ,Profesional,Monovolumen,184 cm,442 cm,214 cm,1.029 l,160 km/h,"4,9 l","4,4 l","4,6 l",1.643 kg,60 l,"14,7 s"
Chrysler Voyager Grand 2.8crd Limited Aut.,4.000€,2007,200.000 km,150 cv en Madrid,Automática,5 puertas,7,150 cv,Gris,225 gr/m,Diesel,No,Particular,Monovolumen,175 cm,510 cm,200 cm,0 l,182 km/h,"11,5 l","6,7 l","8,5 l",2.088 kg,76 l,"8,5 s"
Volkswagen Caravelle 2.0tdi Trendline,39.500€,05/2016,70.871 km,102 cv en Navarra,Manual,4 puertas,7,102 cv,Marrón,193 gr/m,Diesel,SÍ,Profesional,Monovolumen,199 cm,489 cm,190 cm,545 l,157 km/h,"9,5 l","6,1 l","7,3 l",1.790 kg,80 l,"17,9 s"
Citroen C4 Picasso 2.0hdi Exclusive Cmp,10.000€,2007,195.000 km,138 cv en Valencia,Automática,5 puertas,5,138 cv,Negro metalizado,157 gr/m,Diesel,No,Particular,Monovolumen,166 cm,447 cm,183 cm,500 l,195 km/h,"7,9 l","5,1 l","6,1 l",1.656 kg,60 l,"12,4 s"
Mercedes Clase V V 220cdi Marco Polo Largo 7g-tronic,39.600€,02/2018,41.682 km,163 cv en Navarra,Automática secuencial,5 puertas,5,163 cv,Negro,164 gr/m,Diesel,SÍ,Profesional,Monovolumen,198 cm,514 cm,193 cm,0 l,194 km/h,"7,6 l","5,5 l","6,3 l",2.390 kg,57 l,"12,3 s"
Citroen C4 Picasso 1.6hdi Exclusive,3.400€,2007,230.000 km,110 cv en Alicante,Automática,5 puertas,5,110 cv,Rojo,147 gr/m,Diesel,No,Particular,Monovolumen,166 cm,447 cm,183 cm,500 l,180 km/h,"7,0 l","4,8 l","5,6 l",1.489 kg,60 l,"12,5 s"
Bmw I3 I3 94 Ah,25.900€,2017,48.500 km,170 cv en Madrid,"Directo, sin caja de cambios",5 puertas,4,170 cv,Gris,0 gr/m,Eléctrico,No,Particular,Monovolumen,158 cm,400 cm,178 cm,260 l,150 km/h,"0,0 l","0,0 l","0,0 l",1.245 kg,0 l,"7,3 s"
Opel Zafira Tourer 1.6cdti S-s Family Edition 120,12.800€,2016,51.585 km,120 cv en Guipuzcoa,Manual,5 puertas,7,120 cv,Negro,109 gr/m,Diesel,No,Particular,Monovolumen,169 cm,466 cm,188 cm,152 l,186 km/h,"4,6 l","3,8 l","4,1 l",1.626 kg,58 l,"12,7 s"
Volkswagen Touran 1.6tdi Business Edition 85kw,14.499€,03/2017,143.999 km,115 cv en Jaen,Manual,5 puertas,7,115 cv,Gris,120 gr/m,Diesel,SÍ,Profesional,Monovolumen,166 cm,453 cm,183 cm,137 l,190 km/h,"5,3 l","4,1 l","4,5 l",1.539 kg,58 l,"11,4 s"
Volkswagen Touran 1.6tdi Business Edition 85kw,14.499€,03/2017,143.999 km,115 cv en Jaen,Manual,5 puertas,7,115 cv,Gris,120 gr/m,Diesel,SÍ,Profesional,Monovolumen,166 cm,453 cm,183 cm,137 l,190 km/h,"5,3 l","4,1 l","4,5 l",1.539 kg,58 l,"11,4 s"
Ford C-max C-max 2.0tdci Titanium,3.500€,04/2004,229.000 km,136 cv en Madrid,Manual,5 puertas,5,136 cv,Negro,149 gr/m,Diesel,SÍ,Profesional,Monovolumen,160 cm,437 cm,183 cm,473 l,200 km/h,"7,6 l","4,8 l","5,8 l",1.491 kg,53 l,"9,6 s"
Opel Zafira 2.0dti 16v Elegance,2.500€,03/2005,225.000 km,100 cv en Madrid,Manual,5 puertas,7,100 cv,Gris,0 gr/m,Diesel,SÍ,Profesional,Monovolumen,163 cm,432 cm,174 cm,0 l,0 km/h,"8,2 l","5,5 l","6,5 l",1.503 kg,58 l,"14,0 s"
Ford C-max C-max 1.6tdci Trend,2.700€,2006,203.000 km,90 cv en Barcelona,Manual,5 puertas,5,90 cv,Negro,124 gr/m,Diesel,SÍ,Profesional,Monovolumen,160 cm,437 cm,183 cm,473 l,174 km/h,"6,0 l","4,1 l","4,8 l",1.391 kg,53 l,"13,1 s"
Mercedes Clase V V 220cdi Largo Avantgarde 7g Tronic,21.000€,2014,146.200 km,163 cv en Barcelona,Automática secuencial,5 puertas,6,163 cv,Negro,149 gr/m,Diesel,No,Particular,Monovolumen,188 cm,514 cm,193 cm,1.030 l,195 km/h,"6,3 l","5,3 l","5,7 l",2.075 kg,67 l,"10,8 s"
