title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Bmw Serie 1 125i Coupé,16.500€,2008,173.000 km,218 cv en Guipuzcoa,Manual,2 puertas,4,218 cv,Blanco,189 gr/m,Gasolina,No,Particular,Coupe,142 cm,436 cm,175 cm,370 l,245 km/h,"11,4 l","5,9 l","7,9 l",1.480 kg,53 l,"6,4 s"
Volkswagen Cc Volkswagen Cc 2.0tdi Bmt Dsg 140,14.990€,2014,164.000 km,140 cv en Sevilla,Automática secuencial,4 puertas,4,140 cv,Negro,131 gr/m,Diesel,No,Particular,Coupe,142 cm,480 cm,186 cm,532 l,212 km/h,"5,9 l","4,4 l","5,1 l",1.490 kg,70 l,"9,8 s"
Bmw Serie 3 320da Coupé,16.800€,2011,127.000 km,184 cv en Madrid,Automática secuencial,2 puertas,4,184 cv,Blanco,140 gr/m,Diesel,No,Particular,Coupe,140 cm,461 cm,178 cm,440 l,235 km/h,"6,8 l","4,4 l","5,3 l",1.505 kg,61 l,"7,6 s"
Bmw Z4 Sdrive23i,19.900€,2010,35.000 km,204 cv en Sevilla,Manual,2 puertas,2,204 cv,Rojo,199 gr/m,Gasolina,No,Particular,Roadster,129 cm,424 cm,179 cm,180 l,242 km/h,"12,4 l","6,2 l","8,5 l",1.480 kg,55 l,"6,6 s"
Volkswagen Eos 2.0tdi Excellence Dpf,6.500€,2008,200.000 km,"140 cv en Palmas, Las",Manual,2 puertas,4,140 cv,Azul oscuro,144 gr/m,Diesel,No,Particular,Convertible,144 cm,441 cm,179 cm,205 l,206 km/h,"7,4 l","4,8 l","5,8 l",1.627 kg,55 l,"10,3 s"
Mercedes Clase Cl Cl 500 Aut.,19.500€,2007,163.000 km,388 cv en Sevilla,Automática secuencial,2 puertas,4,388 cv,Gris,288 gr/m,Gasolina,No,Particular,Coupe,142 cm,507 cm,187 cm,490 l,250 km/h,"18,1 l","8,5 l","12,1 l",1.995 kg,90 l,"5,4 s"
Porsche 911 Carrera S Coupé,39.900€,2005,109.000 km,355 cv en Valencia,Manual,2 puertas,4,355 cv,Gris,277 gr/m,Gasolina,No,Particular,Coupe,131 cm,443 cm,181 cm,135 l,293 km/h,"17,1 l","8,4 l","11,5 l",1.495 kg,64 l,"4,8 s"
Suzuki Samurai 1.0 Js Lona,2.500€,1987,140.000 km,45 cv en Toledo,Manual,2 puertas,4,45 cv,Gris claro,0 gr/m,Gasolina,No,Particular,Convertible,0 cm,0 cm,0 cm,0 l,0 km/h,"0,0 l","0,0 l","0,0 l",1.010 kg,0 l,"0,0 s"
Volkswagen Golf Cabrio 2.0 Tsi Gti Dsg,15.500€,2012,114.000 km,210 cv en Madrid,Automática secuencial,2 puertas,4,210 cv,Rojo,180 gr/m,Gasolina,No,Particular,Convertible,142 cm,425 cm,178 cm,250 l,235 km/h,"10,4 l","6,2 l","7,7 l",1.555 kg,55 l,"7,3 s"
Mercedes Clase Clk Clk 320 Avantgarde,3.000€,2001,300.000 km,218 cv en Madrid,Automática,2 puertas,4,218 cv,Negro,0 gr/m,Gasolina,No,Particular,Coupe,135 cm,457 cm,172 cm,0 l,0 km/h,"15,1 l","7,4 l","10,1 l",1.495 kg,0 l,"7,4 s"
Bmw Serie 4 435da Xdrive Cabrio Luxury,34.490€,2014,57.000 km,313 cv en Asturias,Automática secuencial,2 puertas,4,313 cv,Marron,151 gr/m,Diesel,No,Particular,Convertible,140 cm,464 cm,183 cm,220 l,250 km/h,"6,8 l","5,2 l","5,7 l",1.850 kg,57 l,"5,2 s"
Bmw Serie 3 320 Cd,7.500€,2006,290.000 km,150 cv en Guipuzcoa,Manual,2 puertas,5,150 cv,Negro,0 gr/m,Diesel,No,Particular,Coupe,137 cm,449 cm,176 cm,0 l,221 km/h,"7,9 l","4,5 l","5,7 l",1.415 kg,63 l,"8,8 s"
Volkswagen Passat Cc Passat Cc 2.0tdi Bmt Dsg,12.400€,2011,187.000 km,140 cv en Madrid,Automática secuencial,4 puertas,4,140 cv,Negro,140 gr/m,Diesel,No,Particular,Coupe,142 cm,480 cm,186 cm,532 l,213 km/h,"6,4 l","4,7 l","5,3 l",1.564 kg,70 l,"9,8 s"
Audi Cabrio 2.0tdi,11.000€,2008,216.000 km,140 cv en Asturias,Manual,2 puertas,4,140 cv,Negro,172 gr/m,Diesel,No,Particular,Convertible,139 cm,457 cm,178 cm,246 l,212 km/h,"8,4 l","5,3 l","6,4 l",1.600 kg,70 l,"9,7 s"
Smart Fortwo Cabrio 52 Passion Aut.,5.200€,2008,24.000 km,71 cv en Tarragona,Automática,2 puertas,2,71 cv,Blanco,116 gr/m,Gasolina,No,Particular,Convertible,154 cm,270 cm,156 cm,220 l,145 km/h,"6,6 l","4,1 l","4,9 l",865 kg,33 l,"0,0 s"
