title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Toyota Aygo 1.0 Vvt-i X-play Business,7.990€,2018,17.923 km,69 cv en Girona,Manual,5 puertas,4,69 cv,Blanco,95 gr/m,Gasolina,SÍ,Profesional,Berlina,146 cm,346 cm,162 cm,168 l,160 km/h,"5,0 l","3,6 l","4,1 l",855 kg,35 l,"14,2 s"
Citroen C1 1.0 Vti City Edition 72,8.927€,03/2021,0 km,72 cv en Vizcaya,Manual,5 puertas,4,72 cv,Rojo,85 gr/m,Gasolina,SÍ,Profesional,Berlina,146 cm,347 cm,162 cm,196 l,160 km/h,"4,9 l","3,6 l","4,1 l",883 kg,35 l,"13,8 s"
Toyota Aygo 1.0 Vvt-i Live,3.700€,01/2012,140.000 km,"68 cv en Rioja, La",Manual,5 puertas,4,68 cv,Rojo,99 gr/m,Gasolina,SÍ,Profesional,Berlina,147 cm,343 cm,162 cm,139 l,157 km/h,"5,1 l","3,8 l","4,3 l",800 kg,35 l,"14,2 s"
Peugeot 107 1.0i Active,5.665€,11/2013,49.282 km,68 cv en Madrid,Manual,5 puertas,5,68 cv,Blanco,99 gr/m,Gasolina,SÍ,Profesional,Berlina,147 cm,343 cm,163 cm,139 l,157 km/h,"5,1 l","3,8 l","4,3 l",800 kg,35 l,"12,3 s"
Hyundai I10 I10 1.0 Tecno,9.300€,01/2019,17.171 km,66 cv,Manual,5 puertas,5,66 cv,Champion blue,108 gr/m,Gasolina,SÍ,Profesional,Berlina,150 cm,367 cm,166 cm,252 l,155 km/h,"6,0 l","4,0 l","4,7 l",933 kg,40 l,"14,7 s"
Fiat Panda 1.2 Lounge,6.500€,12/2016,38.825 km,69 cv,Manual,5 puertas,4,69 cv,Blanco,120 gr/m,Gasolina,SÍ,Profesional,Berlina,155 cm,365 cm,164 cm,225 l,164 km/h,"6,7 l","4,3 l","5,2 l",940 kg,37 l,"14,2 s"
Toyota Aygo 70 X-play,8.990€,02/2020,816 km,72 cv en Barcelona,Manual,5 puertas,4,72 cv,X-rojo,93 gr/m,Gasolina,SÍ,Profesional,Berlina,146 cm,347 cm,162 cm,168 l,160 km/h,"5,0 l","3,6 l","4,1 l",855 kg,35 l,"13,8 s"
Fiat 500 1.2 Lounge,9.400€,06/2018,20.538 km,69 cv en Barcelona,Manual,3 puertas,4,69 cv,Blanco,108 gr/m,Gasolina,SÍ,Profesional,Berlina,149 cm,357 cm,163 cm,185 l,160 km/h,"5,9 l","4,4 l","4,9 l",865 kg,35 l,"12,9 s"
Hyundai I10 I10 1.0 Klass,8.200€,01/2019,17.594 km,66 cv en Barcelona,Manual,5 puertas,5,66 cv,Gris,108 gr/m,Gasolina,SÍ,Profesional,Berlina,150 cm,367 cm,166 cm,252 l,155 km/h,"6,0 l","4,0 l","4,7 l",933 kg,40 l,"14,7 s"
Hyundai I10 I10 1.0 Klass,6.990€,05/2017,37.275 km,66 cv en Barcelona,Manual,5 puertas,5,66 cv,Blanco,108 gr/m,Gasolina,SÍ,Profesional,Berlina,150 cm,367 cm,166 cm,252 l,155 km/h,"6,0 l","4,0 l","4,7 l",933 kg,40 l,"14,9 s"
Citroen C1 1.0 Vti City Edition 72,11.440€,12/2020,NUEVO,72 cv en Madrid,Manual,5 puertas,4,72 cv,Rojo,85 gr/m,Gasolina,SÍ,Profesional,Berlina,146 cm,347 cm,162 cm,196 l,160 km/h,"4,9 l","3,6 l","4,1 l",883 kg,35 l,"13,8 s"
Hyundai I10 I10 1.2 Comfort,4.990€,02/2012,60.885 km,85 cv en Tarragona,Manual,5 puertas,5,85 cv,Negro,108 gr/m,Gasolina,SÍ,Profesional,Berlina,154 cm,359 cm,160 cm,225 l,169 km/h,"5,6 l","4,1 l","4,6 l",910 kg,35 l,"12,3 s"
Toyota Aygo 1.0 Vvt-i X-play,7.990€,08/2016,77.701 km,69 cv en Madrid,Manual,5 puertas,4,69 cv,Blanco,95 gr/m,Gasolina,SÍ,Profesional,Berlina,146 cm,346 cm,162 cm,168 l,160 km/h,"5,0 l","3,6 l","4,1 l",855 kg,35 l,"14,2 s"
Renault Twingo 1.2 16v Authentique Eco2,4.990€,04/2010,46.388 km,75 cv en Barcelona,Manual,3 puertas,4,75 cv,Rojo,119 gr/m,Gasolina,SÍ,Profesional,Berlina,147 cm,360 cm,165 cm,230 l,170 km/h,"7,5 l","4,7 l","5,7 l",950 kg,40 l,"12,0 s"
Hyundai I10 I10 1.2 Link,8.500€,01/2018,72.000 km,87 cv en Madrid,Manual,5 puertas,5,87 cv,Azul,114 gr/m,Gasolina,SÍ,Profesional,Berlina,150 cm,367 cm,166 cm,252 l,171 km/h,"6,5 l","4,1 l","4,9 l",941 kg,40 l,"12,1 s"
Kia Picanto 1.0 Cvvteco-dynamics Concept,8.040€,07/2019,14.700 km,67 cv en Murcia,Manual,5 puertas,4,67 cv,Shiny red (a2r),101 gr/m,Gasolina,SÍ,Profesional,Berlina,149 cm,360 cm,160 cm,255 l,161 km/h,"5,8 l","4,5 l","5,0 l",860 kg,35 l,"14,3 s"
Fiat 500 1.2 Lounge,11.450€,04/2019,32.375 km,69 cv en Valencia,Manual,3 puertas,4,69 cv,Blanco,115 gr/m,Gasolina,SÍ,Profesional,Berlina,149 cm,357 cm,163 cm,185 l,160 km/h,"6,4 l","4,3 l","5,1 l",865 kg,35 l,"12,9 s"
Seat Mii 1.0 Reference 60,7.250€,06/2018,42.100 km,60 cv en Madrid,Manual,5 puertas,4,60 cv,Blanco,105 gr/m,Gasolina,SÍ,Profesional,Berlina,148 cm,356 cm,164 cm,238 l,160 km/h,"5,5 l","3,8 l","4,4 l",926 kg,35 l,"14,4 s"
Smart Fortwo Coupé Electric Drive,13.500€,10/2017,22.000 km,82 cv en Madrid,"Directo, sin caja de cambios",3 puertas,2,82 cv,Gris,0 gr/m,Eléctrico,SÍ,Profesional,Berlina,156 cm,270 cm,166 cm,230 l,130 km/h,"0,0 l","0,0 l","0,0 l",1.085 kg,0 l,"11,5 s"
Citroen C1 1.2 Puretech Feel,7.295€,2018,50.604 km,82 cv en Valencia,Manual,5 puertas,4,82 cv,Rojo,99 gr/m,Gasolina,SÍ,Profesional,Berlina,146 cm,347 cm,162 cm,196 l,170 km/h,"5,4 l","3,7 l","4,3 l",887 kg,35 l,"10,9 s"
Fiat 500 1.2 Lounge,6.995€,2017,58.618 km,69 cv en Valencia,Manual,3 puertas,4,69 cv,Rojo,115 gr/m,Gasolina,SÍ,Profesional,Berlina,149 cm,357 cm,163 cm,185 l,160 km/h,"6,4 l","4,3 l","5,1 l",865 kg,35 l,"12,9 s"
Fiat 500 1.2 Lounge,6.990€,09/2016,72.500 km,69 cv en Pontevedra,Manual,3 puertas,4,69 cv,Blanco,115 gr/m,Gasolina,SÍ,Profesional,Berlina,149 cm,357 cm,163 cm,185 l,160 km/h,"6,4 l","4,3 l","5,1 l",865 kg,35 l,"12,9 s"
Skoda Citigo 1.0 Mpi Ambition 44kw,8.600€,07/2020,7.000 km,60 cv en Pontevedra,Manual,5 puertas,4,60 cv,Rojo,96 gr/m,Gasolina,SÍ,Profesional,Berlina,148 cm,356 cm,165 cm,251 l,160 km/h,"5,6 l","3,9 l","4,5 l",929 kg,35 l,"14,4 s"
