title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Bmw Serie 3 320da Gran Turismo,31.100€,09/2018,52.451 km,190 cv en Guadalajara,Automática secuencial,5 puertas,5,190 cv,Azul,113 gr/m,Diesel,SÍ,Profesional,Berlina,151 cm,482 cm,183 cm,520 l,226 km/h,"5,0 l","3,9 l","4,3 l",1.595 kg,57 l,"7,7 s"
Kia Optima 1.7crdi Eco-dynamics Business,7.749€,01/2018,212.760 km,141 cv en Madrid,Manual,4 puertas,5,141 cv,Gris,110 gr/m,Diesel,SÍ,Profesional,Berlina,147 cm,486 cm,186 cm,510 l,203 km/h,"5,1 l","3,7 l","4,2 l",1.515 kg,70 l,"10,0 s"
Kia Optima 1.7crdi Eco-dynamics Business,7.499€,01/2018,228.766 km,141 cv en Madrid,Manual,4 puertas,5,141 cv,Gris,110 gr/m,Diesel,SÍ,Profesional,Berlina,147 cm,486 cm,186 cm,510 l,203 km/h,"5,1 l","3,7 l","4,2 l",1.515 kg,70 l,"10,0 s"
Mercedes Clase C C 220bluetec 7g Plus,36.710€,08/2019,5.370 km,"170 cv en Palmas, Las",Automática secuencial,4 puertas,5,170 cv,Gris selenita,109 gr/m,Diesel,SÍ,Profesional,Berlina,144 cm,469 cm,181 cm,460 l,233 km/h,"5,3 l","3,6 l","4,3 l",1.570 kg,66 l,"7,4 s"
Audi A6 2.7tdi Corporate Multitronic,13.000€,2010,99.638 km,190 cv en Madrid,Manual,4 puertas,5,190 cv,Gris,169 gr/m,Diesel,No,Particular,Berlina,146 cm,493 cm,186 cm,546 l,227 km/h,"8,0 l","5,5 l","6,4 l",1.735 kg,70 l,"7,9 s"
Mercedes Clase C C 220d 9g-tronic,25.200€,2017,65.000 km,170 cv en Madrid,Automática secuencial,4 puertas,5,170 cv,Blanco,112 gr/m,Diesel,No,Particular,Berlina,144 cm,469 cm,181 cm,460 l,235 km/h,"5,4 l","3,7 l","4,4 l",1.570 kg,66 l,"7,5 s"
Seat Exeo 2.0tdi Cr Style,7.100€,07/2012,179.000 km,120 cv en Granada,Manual,4 puertas,5,120 cv,Negro,136 gr/m,Diesel,SÍ,Profesional,Berlina,143 cm,466 cm,177 cm,460 l,204 km/h,"7,2 l","4,1 l","5,2 l",1.505 kg,70 l,"10,5 s"
Bmw Serie 3 330ia,48.700€,10/2019,23.145 km,252 cv en Madrid,Automática secuencial,4 puertas,5,252 cv,Blanco,137 gr/m,Gasolina,SÍ,Profesional,Berlina,143 cm,463 cm,181 cm,480 l,250 km/h,"7,2 l","5,3 l","6,0 l",1.495 kg,60 l,"5,8 s"
Toyota Avensis 1.8 Vvt-i Sol,4.490€,06/2005,75.000 km,129 cv en Barcelona,Manual,4 puertas,5,129 cv,Plateado,171 gr/m,Gasolina,SÍ,Profesional,Berlina,148 cm,463 cm,176 cm,520 l,200 km/h,"9,4 l","5,8 l","7,2 l",1.270 kg,60 l,"10,0 s"
Mazda Mazda6 2.2de Active,7.990€,09/2011,129.000 km,125 cv en Madrid,Manual,4 puertas,5,125 cv,Blanco,147 gr/m,Diesel,SÍ,Profesional,Berlina,144 cm,474 cm,180 cm,519 l,204 km/h,"7,0 l","4,7 l","5,5 l",1.520 kg,64 l,"10,5 s"
