title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Toyota Rav-4 Rav-4 2.2d-4d Active 4x2,12.300€,2011,39.200 km,150 cv en Granada,Manual,5 puertas,5,150 cv,Gris,156 gr/m,Diesel,SÍ,Profesional,Todo Terreno,172 cm,445 cm,182 cm,410 l,190 km/h,"7,4 l","5,2 l","6,0 l",1.650 kg,60 l,"10,0 s"
Volvo Xc90 Xc90 D4 Kinetic 5pl. Aut.,33.900€,2017,44.330 km,190 cv en Alicante,Automática secuencial,5 puertas,5,190 cv,Negro,136 gr/m,Diesel,SÍ,Profesional,Todo Terreno,178 cm,495 cm,192 cm,314 l,0 km/h,"5,8 l","4,9 l","5,2 l",2.009 kg,71 l,"0,0 s"
Nissan X-trail X-trail 1.6 Dig-t N-connecta 4x2,17.990€,2018,50.700 km,"163 cv en Palmas, Las",Manual,5 puertas,5,163 cv,Negro,149 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,171 cm,469 cm,182 cm,565 l,200 km/h,"8,1 l","5,5 l","6,4 l",1.460 kg,60 l,"9,7 s"
Nissan Qashqai 1.2 Dig-t Acenta 4x2,17.499€,2018,83.817 km,115 cv en Granada,Manual,5 puertas,5,115 cv,Negro,129 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,159 cm,439 cm,181 cm,430 l,185 km/h,"6,6 l","5,1 l","5,6 l",1.331 kg,55 l,"10,6 s"
Land Rover Range Rover Sport 3.0sdv6 Hse Aut. 249,83.000€,2020,1 km,249 cv en Leon,Automática secuencial,5 puertas,5,249 cv,Gris,195 gr/m,Diesel,SÍ,Profesional,Todo Terreno,180 cm,488 cm,198 cm,780 l,209 km/h,"7,9 l","6,4 l","7,0 l",2.178 kg,86 l,"7,3 s"
Jaguar F-pace F-pace 2.0i4d Prestige Aut. Awd 180,55.500€,2020,1 km,180 cv en Leon,Automática secuencial,5 puertas,5,180 cv,Gris,151 gr/m,Diesel,SÍ,Profesional,Todo Terreno,165 cm,473 cm,207 cm,650 l,208 km/h,"6,2 l","4,7 l","5,7 l",1.845 kg,60 l,"9,0 s"
Mercedes Clase Glb Glb 200d 8g-dct,42.800€,2021,NUEVO,150 cv en Jaen,Automática secuencial,5 puertas,5,150 cv,Gris,126 gr/m,Diesel,SÍ,Profesional,Todo Terreno,166 cm,463 cm,183 cm,570 l,204 km/h,"6,2 l","3,4 l","4,8 l",1.680 kg,52 l,"9,0 s"
Mitsubishi Asx Asx 220di-d Kaiteki 4wd 6at,15.900€,2016,102.000 km,150 cv,Automática secuencial,5 puertas,5,150 cv,Blanco,153 gr/m,Diesel,SÍ,Profesional,Todo Terreno,163 cm,430 cm,177 cm,442 l,190 km/h,"7,1 l","5,1 l","5,8 l",1.520 kg,60 l,"10,8 s"
Audi Q7 3.0tdi Cd Ambition 245 Tiptronic,29.900€,2012,133.500 km,245 cv en Lugo,Automática secuencial,5 puertas,5,245 cv,Blanco,195 gr/m,Diesel,SÍ,Profesional,Todo Terreno,174 cm,509 cm,198 cm,775 l,215 km/h,"8,8 l","6,6 l","7,4 l",2.335 kg,100 l,"8,0 s"
Mercedes Clase Glb Glb 250 4matic 8g-dct,57.900€,2021,NUEVO,224 cv en Jaen,Automática secuencial,5 puertas,5,224 cv,Blanco,162 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,166 cm,463 cm,183 cm,570 l,236 km/h,"9,2 l","5,0 l","7,1 l",1.670 kg,52 l,"6,9 s"
Jeep Renegade 1.0 Limited 4x2,22.500€,2020,NUEVO,120 cv en Madrid,Manual,5 puertas,5,120 cv,Rojo,128 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,167 cm,424 cm,181 cm,351 l,185 km/h,"7,0 l","4,9 l","5,7 l",1.320 kg,48 l,"11,2 s"
Jeep Renegade 1.0 Limited 4x2,21.846€,2020,NUEVO,120 cv en Madrid,Manual,5 puertas,5,120 cv,Naranja,128 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,167 cm,424 cm,181 cm,351 l,185 km/h,"7,0 l","4,9 l","5,7 l",1.320 kg,48 l,"11,2 s"
Jeep Compass 1.3 Gse T4 S 4x2 Dct 150,30.082€,2020,NUEVO,150 cv en Madrid,Automática secuencial,5 puertas,5,150 cv,Negro,127 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,163 cm,439 cm,187 cm,438 l,199 km/h,"6,6 l","5,0 l","5,5 l",1.505 kg,55 l,"9,2 s"
Alfa Romeo Stelvio 2.2 Veloce Q4 210 Aut.,47.295€,2020,NUEVO,210 cv en Madrid,Automática secuencial,5 puertas,5,210 cv,Negro,146 gr/m,Diesel,SÍ,Profesional,Todo Terreno,163 cm,469 cm,190 cm,525 l,215 km/h,"6,4 l","5,0 l","5,6 l",1.745 kg,58 l,"6,6 s"
Mercedes Clase Glb Glb 200 7g-dct,44.900€,2021,NUEVO,163 cv en Jaen,Automática secuencial,5 puertas,5,163 cv,Negro,134 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,166 cm,463 cm,183 cm,570 l,207 km/h,"7,7 l","4,1 l","5,9 l",1.555 kg,52 l,"9,1 s"
Suzuki Sx4 S-cross S-cross 1.4t Glx Mild Hybrid,24.450€,2021,NUEVO,129 cv en Madrid,Manual,5 puertas,5,129 cv,Rojo,104 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,158 cm,430 cm,179 cm,430 l,190 km/h,"6,3 l","4,9 l","5,4 l",1.180 kg,47 l,"0,0 s"
Toyota C-hr C-hr 125h Advance,24.420€,2021,NUEVO,122 cv en Madrid,Automática continua,5 puertas,5,122 cv,Gris,86 gr/m,Híbrido,SÍ,Profesional,Todo Terreno,156 cm,440 cm,180 cm,358 l,170 km/h,"3,8 l","3,4 l","4,0 l",1.485 kg,43 l,"11,0 s"
Citroen C3 Aircross Bluehdi S&s Live 100,15.400€,2020,5 km,100 cv en Almeria,Manual,5 puertas,5,100 cv,Beige,107 gr/m,Diesel,SÍ,Profesional,Todo Terreno,160 cm,415 cm,182 cm,410 l,184 km/h,"4,7 l","3,5 l","4,0 l",1.203 kg,45 l,"10,8 s"
Toyota C-hr C-hr 125h Advance,24.940€,2021,NUEVO,122 cv en Madrid,Automática continua,5 puertas,5,122 cv,Blanco,86 gr/m,Híbrido,SÍ,Profesional,Todo Terreno,156 cm,440 cm,180 cm,358 l,170 km/h,"3,8 l","3,4 l","4,0 l",1.485 kg,43 l,"11,0 s"
Toyota C-hr C-hr 125h Advance,25.590€,2021,NUEVO,122 cv en Madrid,Automática continua,5 puertas,5,122 cv,Azul,86 gr/m,Híbrido,SÍ,Profesional,Todo Terreno,156 cm,440 cm,180 cm,358 l,170 km/h,"3,8 l","3,4 l","4,0 l",1.485 kg,43 l,"11,0 s"
Ford Kuga 1.5 Ecoboost Titanium Fwd 120,19.750€,2019,20.277 km,120 cv en Sevilla,Manual,5 puertas,5,120 cv,Blanco,128 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,168 cm,461 cm,188 cm,456 l,184 km/h,"6,8 l","4,9 l","5,6 l",1.493 kg,60 l,"11,6 s"
Opel Crossland 1.2 S&s Business Elegance 130,18.700€,2021,NUEVO,130 cv en Burgos,Manual,5 puertas,5,130 cv,Gris,108 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,161 cm,422 cm,183 cm,410 l,198 km/h,"5,8 l","4,1 l","4,7 l",1.259 kg,45 l,"10,2 s"
Toyota C-hr C-hr 180h Advance,27.980€,2021,NUEVO,184 cv en Madrid,Automática continua,5 puertas,5,184 cv,Azul,92 gr/m,Híbrido,SÍ,Profesional,Todo Terreno,156 cm,440 cm,180 cm,358 l,180 km/h,"3,8 l","3,4 l","4,0 l",1.485 kg,43 l,"8,2 s"
Bmw X5 Xdrive 30da,19.000€,2010,185.846 km,235 cv en Cordoba,Automática secuencial,5 puertas,5,235 cv,Gris,217 gr/m,Diesel,SÍ,Profesional,Todo Terreno,178 cm,485 cm,193 cm,620 l,210 km/h,"10,4 l","7,0 l","8,2 l",2.150 kg,85 l,"8,1 s"
Bmw X1 Sdrive 18da,22.500€,2016,76.260 km,150 cv en Cordoba,Manual,5 puertas,5,150 cv,Blanco,114 gr/m,Diesel,SÍ,Profesional,Todo Terreno,160 cm,444 cm,182 cm,505 l,205 km/h,"5,1 l","3,9 l","4,3 l",1.470 kg,51 l,"9,2 s"
Audi Q3 2.0tdi Advance Quattro S-tronic 177,22.450€,2013,65.856 km,177 cv en Cordoba,Automática secuencial,5 puertas,5,177 cv,Negro,156 gr/m,Diesel,SÍ,Profesional,Todo Terreno,159 cm,439 cm,183 cm,460 l,212 km/h,"7,0 l","5,3 l","5,9 l",1.585 kg,64 l,"8,2 s"
