title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Renault Clio 1.9dti Alizé 80,1.950€,2001,139.000 km,80 cv en Illes Balears,Manual,5 puertas,5,80 cv,Gris,0 gr/m,Diesel,SÍ,Profesional,Berlina,0 cm,0 cm,164 cm,0 l,0 km/h,"6,7 l","4,3 l","5,2 l",1.020 kg,0 l,"12,8 s"
Citroen Ds4 Ds4 1.6e-hdi Stt Style Cmp 112,7.500€,2012,226.000 km,112 cv en Barcelona,Manual automatizada,5 puertas,5,112 cv,Blanco,114 gr/m,Diesel,SÍ,Profesional,Berlina,153 cm,428 cm,181 cm,385 l,190 km/h,"4,8 l","4,1 l","4,4 l",1.300 kg,60 l,"11,3 s"
Opel Astra 1.2t S-s Elegance 145,20.000€,08/2020,7 km,145 cv en Sevilla,Manual,5 puertas,5,145 cv,Negro,99 gr/m,Gasolina,SÍ,Profesional,Berlina,149 cm,437 cm,181 cm,370 l,220 km/h,"5,2 l","3,8 l","4,3 l",1.205 kg,48 l,"9,4 s"
Ford Fiesta 1.5tdci Active 85,11.990€,2018,32.300 km,85 cv en Madrid,Manual,5 puertas,5,85 cv,Blanco,93 gr/m,Diesel,SÍ,Profesional,Berlina,148 cm,404 cm,174 cm,292 l,175 km/h,"4,3 l","3,2 l","3,5 l",1.091 kg,42 l,"12,5 s"
Peugeot 308 1.5bluehdi S&s Allure 130,17.490€,2020,NUEVO,130 cv en Madrid,Manual,5 puertas,5,130 cv,Negro,95 gr/m,Diesel,SÍ,Profesional,Berlina,147 cm,425 cm,180 cm,420 l,204 km/h,"4,4 l","3,3 l","3,7 l",1.255 kg,53 l,"10,8 s"
Hyundai Ioniq Hev 1.6 Gdi Klass,20.900€,10/2019,2.049 km,141 cv en Barcelona,Automática secuencial,5 puertas,5,141 cv,Azul,83 gr/m,Híbrido,SÍ,Profesional,Berlina,145 cm,447 cm,182 cm,563 l,185 km/h,"3,6 l","3,4 l","3,4 l",1.361 kg,45 l,"11,1 s"
Peugeot 308 1.6 Bluehdi Active 120,9.900€,2016,136.000 km,120 cv en Sevilla,Manual,5 puertas,5,120 cv,Negro,94 gr/m,Diesel,SÍ,Profesional,Berlina,146 cm,425 cm,180 cm,420 l,196 km/h,"4,3 l","3,2 l","3,6 l",1.260 kg,53 l,"9,6 s"
Skoda Octavia 2.0tdi Rs 4x4 Dsg,19.900€,2016,88.000 km,184 cv,Automática secuencial,5 puertas,5,184 cv,Blanco,129 gr/m,Diesel,SÍ,Profesional,Berlina,145 cm,469 cm,181 cm,590 l,230 km/h,"5,6 l","4,2 l","4,7 l",1.490 kg,50 l,"7,6 s"
Ford Fiesta 1.4 Autogas (glp) Trend,8.172€,2016,71.000 km,92 cv en Sevilla,Manual,5 puertas,5,92 cv,Gris,113 gr/m,Gasolina,SÍ,Profesional,Berlina,147 cm,397 cm,172 cm,0 l,0 km/h,"9,7 l","5,5 l","7,0 l",1.055 kg,34 l,"0,0 s"
Citroen C-elysée C-elysée 1.6bluehdi Shine 100,9.900€,2018,25.174 km,99 cv en Guadalajara,Manual,4 puertas,5,99 cv,Negro,98 gr/m,Diesel,SÍ,Profesional,Berlina,147 cm,442 cm,175 cm,506 l,183 km/h,"4,6 l","3,3 l","3,8 l",1.165 kg,50 l,"10,8 s"
Volkswagen Polo 1.4 Tdi Bmt Edition 55kw,10.000€,09/2017,47.047 km,75 cv en Madrid,Manual,5 puertas,5,75 cv,Blanco puro,97 gr/m,Diesel,SÍ,Profesional,Berlina,145 cm,397 cm,168 cm,280 l,173 km/h,"4,0 l","3,1 l","3,4 l",1.152 kg,45 l,"12,9 s"
Seat León 1.5 Ecotsi S&s Xcellence 150,16.200€,06/2019,25.000 km,150 cv en Barcelona,Manual,5 puertas,5,150 cv,Blanco,110 gr/m,Gasolina,SÍ,Profesional,Berlina,146 cm,428 cm,182 cm,380 l,215 km/h,"6,1 l","4,1 l","4,8 l",1.243 kg,50 l,"8,2 s"
Volkswagen Polo 1.4 Tdi Bmt Advance Dsg 66kw,9.600€,06/2015,131.451 km,90 cv en Castellon,Automática secuencial,3 puertas,5,90 cv,Blanco,98 gr/m,Diesel,SÍ,Profesional,Berlina,145 cm,397 cm,168 cm,280 l,184 km/h,"3,9 l","3,3 l","3,5 l",1.151 kg,45 l,"0,0 s"
Citroen C-elysée C-elysée 1.6bluehdi Exclusive 100,9.950€,2017,62.516 km,99 cv en Sevilla,Manual,4 puertas,5,99 cv,Azul,98 gr/m,Diesel,SÍ,Profesional,Berlina,147 cm,443 cm,175 cm,506 l,183 km/h,"4,6 l","3,3 l","3,8 l",1.165 kg,50 l,"10,8 s"
Toyota Auris Hybrid 140h Active,15.495€,2018,42.000 km,136 cv en Madrid,Automática continua,5 puertas,5,136 cv,Azul,90 gr/m,Híbrido,SÍ,Profesional,Berlina,148 cm,433 cm,176 cm,360 l,180 km/h,"3,4 l","3,4 l","4,0 l",1.310 kg,45 l,"10,9 s"
Ford Ka + 1.19 Ti-vct Essential,7.990€,2017,10.000 km,70 cv en Barcelona,Manual,5 puertas,5,70 cv,Amarillo,114 gr/m,Gasolina,SÍ,Profesional,Berlina,152 cm,393 cm,170 cm,272 l,161 km/h,"6,5 l","3,9 l","4,9 l",1.055 kg,42 l,"16,0 s"
Ford Focus 1.5ecoblue St Line 120,19.500€,12/2019,2.200 km,120 cv en Valencia,Manual,5 puertas,5,120 cv,Azul,96 gr/m,Diesel,SÍ,Profesional,Berlina,145 cm,438 cm,183 cm,375 l,0 km/h,"4,3 l","3,4 l","3,8 l",1.263 kg,52 l,"12,0 s"
Toyota Yaris 1.3 Advance,8.390€,2016,73.000 km,99 cv en Tenerife,Manual,5 puertas,5,99 cv,Gris,119 gr/m,Gasolina,SÍ,Profesional,Berlina,151 cm,389 cm,170 cm,286 l,175 km/h,"6,5 l","4,3 l","5,1 l",1.025 kg,42 l,"11,7 s"
Mazda Mazda3 2.0 Evolution 88kw,21.495€,2019,6.000 km,120 cv en Madrid,Automática secuencial,5 puertas,5,120 cv,Gris,119 gr/m,Gasolina,SÍ,Profesional,Berlina,145 cm,447 cm,180 cm,364 l,182 km/h,"6,5 l","4,3 l","5,1 l",1.205 kg,51 l,"10,6 s"
Lexus Ct Ct 200h Business,22.000€,2020,NUEVO,136 cv en Vizcaya,Automática continua,5 puertas,5,136 cv,Gris,87 gr/m,Híbrido,SÍ,Profesional,Berlina,146 cm,436 cm,177 cm,375 l,180 km/h,"3,7 l","3,7 l","3,8 l",1.370 kg,45 l,"10,3 s"
Audi A1 Sportback 30 Tfsi Advanced S Tronic,20.500€,02/2019,15 km,116 cv en Vizcaya,Automática secuencial,5 puertas,5,116 cv,Verde,112 gr/m,Gasolina,SÍ,Profesional,Berlina,141 cm,403 cm,174 cm,335 l,203 km/h,"5,9 l","4,2 l","4,8 l",1.200 kg,40 l,"9,4 s"
Opel Corsa 1.2t Xhl S-s Gs-line 100,14.600€,08/2020,NUEVO,100 cv en Salamanca,Manual,5 puertas,5,100 cv,Gris,96 gr/m,Gasolina,SÍ,Profesional,Berlina,144 cm,406 cm,177 cm,309 l,188 km/h,"5,2 l","3,6 l","4,2 l",1.165 kg,44 l,"9,9 s"
Ford Fiesta 1.25 Trend 82,7.000€,2017,32.152 km,82 cv en Alicante,Manual,5 puertas,5,82 cv,Azul,120 gr/m,Gasolina,SÍ,Profesional,Berlina,147 cm,397 cm,172 cm,276 l,168 km/h,"6,8 l","4,2 l","5,2 l",1.055 kg,42 l,"13,3 s"
Peugeot 308 1.6 Bluehdi Access 100,9.100€,2016,61.000 km,100 cv en Cadiz,Manual,5 puertas,5,100 cv,Gris,94 gr/m,Diesel,SÍ,Profesional,Berlina,146 cm,425 cm,180 cm,420 l,186 km/h,"4,3 l","3,2 l","3,6 l",1.260 kg,53 l,"11,3 s"
Volkswagen Polo 1.0 Edition 55kw,10.900€,06/2018,34.022 km,75 cv en Barcelona,Manual,5 puertas,5,75 cv,Plata,110 gr/m,Gasolina,SÍ,Profesional,Berlina,146 cm,405 cm,175 cm,355 l,164 km/h,"6,0 l","4,1 l","4,8 l",1.105 kg,40 l,"15,5 s"
