title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Ford Kuga 1.5 Ecoblue St-line X Fwd 120 Aut.,25.900€,2020,1.768 km,120 cv en Madrid,Automática secuencial,5 puertas,5,120 cv,Gris,118 gr/m,Diesel,SÍ,Profesional,Todo Terreno,168 cm,461 cm,188 cm,456 l,177 km/h,"5,0 l","4,1 l","4,4 l",1.529 kg,60 l,"12,0 s"
Bmw Serie 4 430ia Cabrio,35.990€,04/2016,24.575 km,252 cv en Madrid,Automática secuencial,2 puertas,4,252 cv,Blanco,148 gr/m,Gasolina,SÍ,Profesional,Convertible,138 cm,464 cm,183 cm,220 l,250 km/h,"7,4 l","6,0 l","6,5 l",1.735 kg,60 l,"6,3 s"
Nissan Nv250 Nv250 Furgón 1.5dci Comfort L1h1 2pl. 115,12.900€,07/2020,12 km,"115 cv en Coruña, A",Manual,5 puertas,2,115 cv,Blanco,125 gr/m,Diesel,SÍ,Profesional,Furgon,180 cm,428 cm,185 cm,0 l,163 km/h,"5,3 l","4,5 l","4,8 l",1.320 kg,60 l,"12,4 s"
Audi A1 Sportback 30 Tfsi Advanced,19.200€,11/2018,11.500 km,116 cv en Badajoz,Manual,5 puertas,5,116 cv,Rojo,111 gr/m,Gasolina,SÍ,Profesional,Berlina,141 cm,403 cm,174 cm,335 l,203 km/h,"5,9 l","4,1 l","4,8 l",1.180 kg,40 l,"9,5 s"
Volkswagen Golf 2.0tdi Cr Bmt Gtd Dsg 184,15.900€,2014,98.000 km,184 cv en Pontevedra,Manual,3 puertas,5,184 cv,Gris,119 gr/m,Diesel,SÍ,Profesional,Berlina,144 cm,427 cm,180 cm,380 l,228 km/h,"5,5 l","4,0 l","4,5 l",1.395 kg,50 l,"7,5 s"
Seat Arona 1.0 Tsi Ecomotive S&s Style 115,12.200€,11/2018,41.272 km,115 cv en Valencia,Manual,5 puertas,5,115 cv,Gris,110 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,155 cm,414 cm,178 cm,400 l,190 km/h,"6,0 l","4,3 l","4,9 l",1.179 kg,40 l,"9,8 s"
Audi A4 35 Tdi Advanced S Tronic 120kw,37.400€,09/2019,100 km,163 cv en Guipuzcoa,Automática secuencial,4 puertas,5,163 cv,Azul,108 gr/m,Diesel,SÍ,Profesional,Berlina,143 cm,476 cm,185 cm,460 l,228 km/h,"4,3 l","3,6 l","3,9 l",1.570 kg,54 l,"8,2 s"
Bmw Serie 3 320da,17.900€,02/2017,116.204 km,190 cv en Madrid,Automática secuencial,4 puertas,5,190 cv,Blanco,106 gr/m,Diesel,SÍ,Profesional,Berlina,143 cm,463 cm,181 cm,480 l,230 km/h,"4,8 l","3,6 l","4,0 l",1.450 kg,57 l,"7,2 s"
Mitsubishi Eclipse Cross 150 T Spirit 2wd,19.950€,2019,23.951 km,163 cv en Sevilla,Manual,5 puertas,5,163 cv,Rojo,159 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,169 cm,441 cm,181 cm,378 l,205 km/h,"8,2 l","6,3 l","7,0 l",1.460 kg,63 l,"9,7 s"
Seat Arona 1.0 Tsi Ecomotive S&s Style 115,14.450€,2019,30.059 km,115 cv en Sevilla,Manual,5 puertas,5,115 cv,Blanco,110 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,155 cm,414 cm,178 cm,400 l,190 km/h,"6,0 l","4,3 l","4,9 l",1.179 kg,40 l,"9,8 s"
Audi A1 1.4 Tfsi Adrenalin2,10.995€,2014,46.990 km,"122 cv en Palmas, Las",Manual,3 puertas,4,122 cv,Blanco,124 gr/m,Gasolina,SÍ,Profesional,Berlina,142 cm,395 cm,174 cm,270 l,203 km/h,"6,5 l","4,6 l","5,3 l",1.180 kg,45 l,"8,9 s"
Audi A1 1.4 Tfsi Adrenalin2,10.995€,2014,46.990 km,"122 cv en Palmas, Las",Manual,3 puertas,4,122 cv,Blanco,124 gr/m,Gasolina,SÍ,Profesional,Berlina,142 cm,395 cm,174 cm,270 l,203 km/h,"6,5 l","4,6 l","5,3 l",1.180 kg,45 l,"8,9 s"
Bmw Serie 1 118i Cabrio,8.900€,03/2010,174.118 km,143 cv,Manual,2 puertas,4,143 cv,Negro,152 gr/m,Gasolina,SÍ,Profesional,Convertible,141 cm,436 cm,175 cm,260 l,210 km/h,"8,5 l","5,0 l","6,3 l",1.480 kg,53 l,"9,3 s"
Mercedes Clase S S 500,6.750€,08/2001,163.744 km,306 cv,Automática,4 puertas,5,306 cv,Azul,0 gr/m,Gasolina,SÍ,Profesional,Berlina,144 cm,504 cm,186 cm,0 l,0 km/h,"19,9 l","9,4 l","13,4 l",1.855 kg,0 l,"6,5 s"
Ford Focus 1.0 Ecoboost Trend+ 125,10.900€,12/2018,28.926 km,124 cv en Valencia,Manual,5 puertas,5,124 cv,Gris / plata,107 gr/m,Gasolina,SÍ,Profesional,Berlina,145 cm,438 cm,183 cm,375 l,0 km/h,"5,7 l","3,9 l","4,6 l",1.201 kg,52 l,"12,5 s"
Ford Fiesta 1.0 Ecoboost S-s Trend+ 100,11.400€,2018,20.157 km,100 cv en Alicante,Manual,5 puertas,5,100 cv,Blanco,110 gr/m,Gasolina,SÍ,Profesional,Berlina,148 cm,404 cm,174 cm,292 l,183 km/h,"5,4 l","3,6 l","4,3 l",1.101 kg,42 l,"10,5 s"
Bmw Serie 3 320da Gran Turismo,27.000€,02/2018,30.000 km,190 cv en Zamora,Automática secuencial,5 puertas,5,190 cv,Blanco,128 gr/m,Diesel,SÍ,Profesional,Berlina,151 cm,482 cm,183 cm,520 l,226 km/h,"5,4 l","4,6 l","4,9 l",1.650 kg,57 l,"7,8 s"
Renault Kadjar 1.3 Tce Gpf Intens 103kw,17.250€,2020,20.000 km,140 cv en Malaga,Automática,5 puertas,5,140 cv,Gris,131 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,161 cm,449 cm,184 cm,472 l,203 km/h,"7,4 l","5,0 l","5,9 l",1.442 kg,55 l,"10,4 s"
Renault Clio Tce Intens 74kw,12.900€,2019,5.000 km,100 cv en Ourense,Manual,5 puertas,5,100 cv,Naranja,99 gr/m,Gasolina,SÍ,Profesional,Berlina,144 cm,405 cm,180 cm,340 l,187 km/h,"5,5 l","3,6 l","4,3 l",1.090 kg,42 l,"11,8 s"
Ssangyong Korando G15 Line 4x2,17.900€,2020,NUEVO,163 cv en Burgos,Manual,5 puertas,5,163 cv,Blanco,156 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,162 cm,445 cm,187 cm,551 l,191 km/h,"7,1 l","3,8 l","5,5 l",1.405 kg,50 l,"0,0 s"
Opel Corsa 1.2t Xhl S-s Elegance 100,12.900€,2019,8.950 km,100 cv en Burgos,Manual,5 puertas,5,100 cv,Rojo,96 gr/m,Gasolina,SÍ,Profesional,Berlina,144 cm,406 cm,177 cm,309 l,188 km/h,"5,2 l","3,6 l","4,2 l",1.165 kg,44 l,"9,9 s"
Mercedes Clase B B 200,28.900€,01/2019,4.675 km,163 cv en Barcelona,Manual,5 puertas,5,163 cv,Gris,123 gr/m,Gasolina,SÍ,Profesional,Monovolumen,156 cm,442 cm,180 cm,455 l,223 km/h,"7,0 l","3,7 l","5,4 l",1.395 kg,43 l,"8,5 s"
Seat Alhambra 2.0tdi Cr S&s Style Dsg 150,16.900€,2018,99.000 km,150 cv,Automática secuencial,5 puertas,5,150 cv,Blanco,137 gr/m,Diesel,SÍ,Profesional,Monovolumen,172 cm,485 cm,190 cm,885 l,198 km/h,"6,2 l","4,7 l","5,2 l",1.839 kg,73 l,"10,3 s"
Peugeot 2008 1.2 Puretech S&s Signature 82,11.650€,2019,18.000 km,82 cv en Madrid,Manual,5 puertas,5,82 cv,Negro,114 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,157 cm,416 cm,174 cm,360 l,168 km/h,"5,8 l","4,5 l","5,0 l",1.120 kg,50 l,"13,5 s"
Audi A1 Sportback 25 Tfsi Advanced,16.600€,03/2019,12.770 km,95 cv en Barcelona,Manual,5 puertas,5,95 cv,Gris,107 gr/m,Gasolina,SÍ,Profesional,Berlina,141 cm,403 cm,174 cm,335 l,191 km/h,"5,8 l","3,9 l","4,6 l",1.165 kg,40 l,"10,8 s"
Renault Captur Tce Eco2 Energy Life 90,8.495€,2016,88.061 km,"90 cv en Palmas, Las",Manual,5 puertas,5,90 cv,Marrón,113 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,157 cm,412 cm,178 cm,377 l,171 km/h,"6,0 l","4,3 l","4,9 l",1.101 kg,45 l,"12,9 s"
Skoda Citigo 1.0 Mpi Ambition 55kw,4.900€,2013,62.280 km,75 cv en Granada,Manual,5 puertas,4,75 cv,Negro,101 gr/m,Gasolina,SÍ,Profesional,Berlina,147 cm,356 cm,164 cm,251 l,171 km/h,"5,9 l","4,0 l","4,7 l",929 kg,35 l,"13,2 s"
Hyundai Tucson 2.0crdi Go 4x4,18.500€,2018,65.000 km,136 cv en Sevilla,Manual,5 puertas,5,136 cv,Blanco,139 gr/m,Diesel,SÍ,Profesional,Todo Terreno,166 cm,448 cm,185 cm,513 l,184 km/h,"6,0 l","4,8 l","5,2 l",1.587 kg,62 l,"10,9 s"
